window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
3,76.3000,98,1262,221,14490,0.3072,0.9279,0.0620,0.0874,0.0457,0.0801
3,77.5000,98,1232,221,14520,0.3072,0.9263,0.0632,0.0897,0.0470,0.0782
3,78.3000,96,1207,223,14545,0.3009,0.9263,0.0629,0.0893,0.0468,0.0766
3,79.3000,94,1180,225,14572,0.2947,0.9262,0.0627,0.0891,0.0466,0.0749
3,80.2000,93,1153,226,14599,0.2915,0.9254,0.0632,0.0901,0.0472,0.0732
3,80.9000,91,1130,228,14622,0.2853,0.9255,0.0628,0.0895,0.0469,0.0717
3,81.9000,88,1101,231,14651,0.2759,0.9260,0.0620,0.0882,0.0461,0.0699
3,83.0000,86,1074,233,14678,0.2696,0.9259,0.0617,0.0879,0.0460,0.0682
3,83.9000,85,1048,234,14704,0.2665,0.9250,0.0622,0.0889,0.0465,0.0665
3,85.0000,82,1022,237,14730,0.2571,0.9257,0.0611,0.0871,0.0456,0.0649
3,86.2000,82,994,237,14758,0.2571,0.9238,0.0625,0.0897,0.0469,0.0631
3,87.5000,79,967,240,14785,0.2476,0.9245,0.0614,0.0880,0.0460,0.0614
3,88.4000,75,943,244,14809,0.2351,0.9263,0.0594,0.0845,0.0441,0.0599
3,89.3000,72,921,247,14831,0.2257,0.9275,0.0581,0.0822,0.0429,0.0585
3,90.4000,69,894,250,14858,0.2163,0.9283,0.0569,0.0802,0.0418,0.0568
3,91.4000,68,867,251,14885,0.2132,0.9273,0.0573,0.0813,0.0423,0.0550
3,93.1000,66,842,253,14910,0.2069,0.9273,0.0568,0.0806,0.0420,0.0535
3,94.1000,66,812,253,14940,0.2069,0.9248,0.0584,0.0836,0.0436,0.0515
3,95.7000,65,784,254,14968,0.2038,0.9234,0.0589,0.0849,0.0443,0.0498
3,97.4000,61,761,258,14991,0.1912,0.9258,0.0565,0.0806,0.0420,0.0483
3,99.3000,60,733,259,15019,0.1881,0.9243,0.0570,0.0819,0.0427,0.0465
3,101.0000,59,709,260,15043,0.1850,0.9232,0.0574,0.0828,0.0432,0.0450
3,102.8000,57,679,262,15073,0.1787,0.9226,0.0571,0.0827,0.0431,0.0431
3,104.7000,56,650,263,15102,0.1755,0.9207,0.0578,0.0842,0.0440,0.0413
3,106.4000,54,626,265,15126,0.1693,0.9206,0.0571,0.0833,0.0435,0.0397
3,108.7000,50,601,269,15151,0.1567,0.9232,0.0543,0.0785,0.0409,0.0382
3,110.5000,48,576,271,15176,0.1505,0.9231,0.0536,0.0776,0.0404,0.0366
3,112.7000,48,545,271,15207,0.1505,0.9191,0.0556,0.0816,0.0425,0.0346
3,114.5000,47,519,272,15233,0.1473,0.9170,0.0561,0.0829,0.0433,0.0329
3,116.7000,45,493,274,15259,0.1411,0.9164,0.0554,0.0821,0.0428,0.0313
3,119.0000,43,468,276,15284,0.1348,0.9159,0.0546,0.0812,0.0423,0.0297
3,121.3000,43,438,276,15314,0.1348,0.9106,0.0568,0.0857,0.0448,0.0278
3,124.5000,39,414,280,15338,0.1223,0.9139,0.0532,0.0796,0.0414,0.0263
3,127.1000,37,388,282,15364,0.1160,0.9129,0.0523,0.0786,0.0409,0.0246
3,131.4000,34,363,285,15389,0.1066,0.9144,0.0499,0.0746,0.0387,0.0230
3,135.2000,32,336,287,15416,0.1003,0.9130,0.0489,0.0735,0.0381,0.0213
3,137.4000,30,309,289,15443,0.0940,0.9115,0.0478,0.0722,0.0375,0.0196
3,139.9000,26,285,293,15467,0.0815,0.9164,0.0430,0.0642,0.0332,0.0181
3,143.4000,25,258,294,15494,0.0784,0.9117,0.0433,0.0656,0.0339,0.0164
3,146.7000,24,231,295,15521,0.0752,0.9059,0.0436,0.0672,0.0348,0.0147
3,152.0000,23,204,296,15548,0.0721,0.8987,0.0440,0.0689,0.0357,0.0130
3,157.2000,19,180,300,15572,0.0596,0.9045,0.0381,0.0590,0.0304,0.0114
3,163.5000,15,155,304,15597,0.0470,0.9118,0.0316,0.0482,0.0247,0.0098
